Advertised,AdvertisedLocationName,AdvertisedShortLocationName,PrimaryLocationCode,CountryCode,CountyNo,Deleted,LocationSignature,Prognosticated,OfficialLocationName,Geometry.SWEREF99TM,Geometry.WGS84
True,Hallsberg,Hallsberg,1374,SE,[18],False,Hpbg,True,Hallsbergs personbangård,POINT (506379 6547530),POINT (15.111247801460943 59.067109056207826)
True,Herrljunga C,Herrljunga,1476,SE,[14],False,Hrc,True,Herrljunga central,POINT (383288 6439223),POINT (13.020948677544308 58.07905700239791)
True,Horred,Horred,1558,SE,[14],False,Hre,True,Horred,POINT (348250 6359575),POINT (12.477653798811492 57.35372200206128)
True,Härnösand C,Härnösand,1701,SE,[22],False,Hsd,True,Härnösands central,POINT (650140 6948362),POINT (17.92838619189114 62.63527303395426)
True,Huddinge,Huddinge,1578,SE,"[1, 2]",False,Hu,True,Huddinge,POINT (669888 6570098),POINT (17.978043129737866 59.235745450351786)
True,Hästveda,Hästveda,10224,SE,[12],False,Hv,True,Hästveda,POINT (434063 6238707),POINT (13.934798039244678 56.28856744055991)
True,Hovmantorp,Hovmantorp,1573,SE,[7],False,Hvp,True,Hovmantorp,POINT (508528 6293598),POINT (15.139584168498338 56.78621973438642)
True,Håkantorp,Håkantorp,1631,SE,[14],False,Håp,True,Håkantorp,POINT (377394 6464758),POINT (12.907646820827386 58.306663927115316)
True,Hindås,Hindås,1497,SE,[14],False,Hås,True,Hindås,POINT (348110 6398661),POINT (12.450955795859276 57.70442998108977)
True,Häljarp,Häljarp,1657,SE,[12],False,Häp,True,Häljarp,POINT (369354 6192560),POINT (12.912557697821418 55.860824070017046)
True,Höör,Höör,1761,SE,[12],False,Hö,True,Höör,POINT (408994 6200084),POINT (13.543109032870959 55.93751670322811)
True,Insjön,Insjön,1807,SE,[20],False,In,True,Insjön,POINT (505158 6726649),POINT (15.09440547505756 60.675512120195)
True,Jordbro,Jordbro,1841,SE,"[1, 2]",False,Jbo,True,Jordbro,POINT (678848 6560092),POINT (18.126627617865534 59.142335396312376)
True,Jakobsberg,Jakobsberg,1820,SE,"[1, 2]",False,Jkb,True,Jakobsberg,POINT (660733 6590667),POINT (17.83311960293623 59.42380587512121)
True,Järna,Järna,1865,SE,"[1, 2]",False,Jn,True,Järna,POINT (647135 6553329),POINT (17.56838888499918 59.093817556795436)
True,Jonsered,Jonsered,1836,SE,[14],False,Jv,True,Jonsered västra,POINT (331801 6404370),POINT (12.17362340481133 57.749846131636886)
True,Jönköping C,Jönköping,1881,SE,[6],False,Jö,True,Jönköpings central,POINT (450323 6405020),POINT (14.164573787695401 57.78445772239434)
True,Katrineholm C,Katrineholm,1968,SE,[4],False,K,True,Katrineholms central,POINT (569475 6540292),POINT (16.20918363170913 58.99651167620936)
True,Kattarp,Kattarp,1971,SE,[12],False,Ka,True,Kattarp,POINT (361911.648 6223971.934),POINT (12.777608259460704 56.140774354068334)
True,Kalmar C,Kalmar,1919,SE,[8],False,Kac,True,Kalmar central,POINT (583383 6280513),POINT (16.360325202050554 56.66131381188299)
True,Kungsbacka,Kungsbacka,2158,SE,[13],False,Kb,True,Kungsbacka,POINT (324976 6375640),POINT (12.07987181665218 57.48950544031248)
True,Kolbäck,Kolbäck,2062,SE,[19],False,Kbä,True,Kolbäck,POINT (569699 6603534),POINT (16.233449451415915 59.564275066589246)
True,Kågeröd,Kågeröd,5001,SE,[12],False,Kd,True,Kågeröd,POINT (380439 6207909),POINT (13.08275972603388 56.00153406097582)
True,Krigslida,Krigslida,2114,SE,"[1, 2]",False,Kda,True,Krigslida,POINT (675527 6556210),POINT (18.065552646044075 59.108906678332126)
True,Kode,Kode,2057,SE,[14],False,Kde,True,Kode,POINT (313613 6426870),POINT (11.850915969023228 57.944463548544334)
True,Karlberg,Karlberg,1934,SE,"[1, 2]",False,Ke,True,Karlberg,POINT (672231 6581859),POINT (18.02841092812193 59.34026923318948)
True,Kävlinge,Kävlinge,2256,SE,[12],False,Kg,True,Kävlinge,POINT (381594 6184822),POINT (13.111371832062686 55.794495008848955)
True,Klostergården,Klostergården,10708,SE,[12],False,Kgå,True,Klostergården,POINT (385048 6173581),POINT (13.17116184603064 55.69437622326718)
True,Karlshamn,Karlshamn,1944,SE,[10],False,Kh,True,Karlshamn,POINT (491705 6225803),POINT (14.866386877828996 56.17713901811646)
True,Hede,Hede,2161,SE,[13],False,Khe,True,Kungsbacka Hede,POINT (325363 6378367),POINT (12.084367530003666 57.51411891806205)
True,Kristinehamn,Kristinehamn,2120,SE,[17],False,Khn,True,Kristinehamn,POINT (449176 6575736),POINT (14.107122432191877 59.31739872551908)
True,Kallhäll,Kallhäll,1914,SE,"[1, 2]",False,Khä,True,Kallhäll,POINT (659134 6593781),POINT (17.807289028255887 59.45234417420927)
True,Kil,Kil,1982,SE,[17],False,Kil,True,Kil,POINT (404670 6597465),POINT (13.315881677110461 59.504742987565244)
True,Kisa,Kisa,2012,SE,[5],False,Kisa,True,Kisa,POINT (537497 6427175),POINT (15.634102153708474 57.98463082276202)
True,Klippan,Klippan,2034,SE,[12],False,Kl,True,Klippan,POINT (383776 6222200),POINT (13.13003436608401 56.130688346262254)
True,Kumla,Kumla,2155,SE,[18],False,Kla,True,Kumla,POINT (508068 6554263),POINT (15.140951207519517 59.127546039877174)
True,Kilafors,Kilafors,1983,SE,[21],False,Kls,True,Kilafors,POINT (584314 6789496),POINT (16.570398791877707 61.23068978245371)
True,Kimstad,Kimstad,10268,SE,[5],False,Kms,True,Kimstad,POINT (556408 6488824),POINT (15.968849409687596 58.536269119269186)
True,Knivsta,Knivsta,2051,SE,[3],False,Kn,True,Knivsta,POINT (656714 6624124),POINT (17.787099193488487 59.72540889315591)
True,Kolmården,Kolmården,2066,SE,[5],False,Kon,True,Kolmården,POINT (579014 6504633),POINT (16.362527340300144 58.674698185267616)
True,Köping,Köping,2260,SE,[19],False,Kp,True,Köping,POINT (556979 6596853),POINT (16.006600818148108 59.506216236811404)
True,Kopparberg,Kopparberg,2072,SE,[18],False,Kpg,True,Kopparberg,POINT (499266 6637227),POINT (14.9868909700589 59.872634543946816)
True,Killeberg,Killeberg,10265,SE,[12],False,Kr,True,Killeberg,POINT (444465 6259294),POINT (14.098457558724308 56.47483745605889)
True,Kållered,Kållered,2214,SE,[14],False,Krd,True,Kållered,POINT (323570 6389743),POINT (12.046219091325822 57.61547579973257)
True,Karlstad C,Karlstad,,SE,[17],False,Ksc,True,Karlstad central,POINT (414717 6583093),POINT (13.499025358175766 59.37789092716515)
True,Klevshult,Klevshult,2027,SE,[6],False,Kvh,True,Klevshult,POINT (445683 6356882),POINT (14.097317099964833 57.35156605982935)
True,Kvidinge,Kvidinge,10297,SE,[12],False,Kvi,True,Kvidinge,POINT (378583 6223070),POINT (13.046139808313916 56.13720817568074)
True,Kungsängen,Kungsängen,2166,SE,"[1, 2]",False,Kän,True,Kungsängen,POINT (655929 6596521),POINT (17.752825171041373 59.478122749065776)
True,Kungsör,Kungsör,2168,SE,[19],False,Kör,True,Kungsör,POINT (562586 6588208),POINT (16.10310222516729 59.42779891170679)
True,Ludvika,Ludvika,2472,SE,[20],False,La,True,Ludvika,POINT (510133 6668117),POINT (15.18249388762999 60.14987845922074)
True,Laholm,Laholm,2288,SE,[13],False,Laov,True,Laholm västra,POINT (376859 6263823),POINT (12.999365637352259 56.502689714830744)
True,Lingbo,Lingbo,2415,SE,[21],False,Lb,True,Lingbo,POINT (590340 6768947),POINT (16.672797728765662 61.044939671430086)
True,Lindesberg,Lindesberg,2403,SE,[18],False,Ld,True,Lindesberg,POINT (512909 6606277),POINT (15.228644817968565 59.59451621700285)
